Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
EK,2364,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1212,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
EK,2345,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
A3,927,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,4978,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1514,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7621,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
ET,418,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8808,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
BZ,132,2024-03-16 12:55:00,2024-03-16 13:24:00,D,FCO,ROME,ITALY,3,DEPARTED
CY,110,2024-03-16 14:00:00,2024-03-16 13:47:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,1842,2024-03-16 14:05:00,2024-03-16 14:13:00,A,ETM,RAMON,ISRAEL,3,LANDED
EW,9975,2024-03-16 13:40:00,2024-03-16 14:17:00,D,DUS,DUSSELDORF,GERMANY,3,DEPARTED
EK,2346,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1126,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
ET,419,2024-03-16 14:35:00,2024-03-16 14:47:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8809,2024-03-16 14:35:00,2024-03-16 14:47:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
IZ,162,2024-03-16 15:30:00,2024-03-16 14:54:00,A,LCA,LARNACA,CYPRUS,3,LANDED
CY,111,2024-03-16 15:00:00,2024-03-16 14:56:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
IZ,827,2024-03-16 15:00:00,2024-03-16 15:12:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
WZ,015,2024-03-16 12:15:00,2024-03-16 15:37:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
AC,9020,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
LH,686,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
NH,5459,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
SN,7173,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
UA,9120,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
6H,142,2024-03-16 15:40:00,2024-03-16 15:55:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
6H,264,2024-03-16 15:25:00,2024-03-16 15:58:00,A,MUC,MUNICH,GERMANY,3,LANDED
LH,680,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
SN,7171,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
UA,9471,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
IZ,211,2024-03-16 16:30:00,2024-03-16 16:40:00,D,ATH,ATHENS,GREECE,3,DEPARTED
IZ,828,2024-03-16 17:05:00,2024-03-16 17:04:00,A,ETM,RAMON,ISRAEL,3,LANDED
WZ,016,2024-03-16 13:45:00,2024-03-16 17:06:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
LX,252,2024-03-16 17:10:00,2024-03-16 17:32:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
LH,687,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
SN,7174,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
UA,9123,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
LH,681,2024-03-16 17:10:00,2024-03-16 17:46:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
SN,7172,2024-03-16 17:10:00,2024-03-16 17:46:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
6H,143,2024-03-16 17:20:00,2024-03-16 17:55:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
IZ,1843,2024-03-16 17:50:00,2024-03-16 18:10:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
IZ,776,2024-03-16 18:20:00,2024-03-16 18:50:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
LX,253,2024-03-16 18:20:00,2024-03-16 19:14:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
6H,044,2024-03-16 19:25:00,2024-03-16 19:35:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,174,2024-03-16 19:35:00,2024-03-16 19:39:00,A,BCN,BARCELONA,SPAIN,3,LANDED
U8,108,2024-03-16 20:00:00,2024-03-16 19:43:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,1844,2024-03-16 20:05:00,2024-03-16 20:11:00,A,ETM,RAMON,ISRAEL,3,LANDED
IZ,1805,2024-03-16 19:30:00,2024-03-16 20:12:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
W9,4451,2024-03-16 21:05:00,2024-03-16 20:31:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
IZ,212,2024-03-16 21:25:00,2024-03-16 21:06:00,A,ATH,ATHENS,GREECE,3,LANDED
IZ,1845,2024-03-16 20:50:00,2024-03-16 21:20:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
ET,404,2024-03-16 00:35:00,2024-03-15 23:59:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-03-16 00:35:00,2024-03-15 23:59:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
6H,768,2024-03-16 00:45:00,2024-03-16 00:59:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
ET,405,2024-03-16 01:30:00,2024-03-16 01:32:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2024-03-16 01:30:00,2024-03-16 01:32:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
A3,928,2024-03-16 03:00:00,2024-03-16 02:35:00,A,ATH,ATHENS,GREECE,3,LANDED
FB,1528,2024-03-16 03:00:00,2024-03-16 02:35:00,A,ATH,ATHENS,GREECE,3,LANDED
OS,859,2024-03-16 03:35:00,2024-03-16 03:16:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LO,151,2024-03-16 03:45:00,2024-03-16 03:50:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,9256,2024-03-16 03:45:00,2024-03-16 03:50:00,A,WAW,WARSAW,POLAND,3,LANDED
QS,1286,2024-03-16 04:35:00,2024-03-16 04:27:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
A3,929,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1529,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7623,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LO,152,2024-03-16 05:20:00,2024-03-16 05:38:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,9255,2024-03-16 05:20:00,2024-03-16 05:38:00,D,WAW,WARSAW,POLAND,3,DEPARTED
IZ,413,2024-03-16 05:40:00,2024-03-16 05:54:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
QS,1287,2024-03-16 05:35:00,2024-03-16 06:08:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
6H,141,2024-03-16 05:50:00,2024-03-16 06:13:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
6H,263,2024-03-16 06:30:00,2024-03-16 06:35:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
NH,5620,2024-03-16 05:20:00,2024-03-16 06:40:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
OS,860,2024-03-16 05:20:00,2024-03-16 06:40:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
6H,357,2024-03-16 07:10:00,2024-03-16 07:21:00,D,VRN,VERONA,ITALY,3,DEPARTED
UA,084,2024-03-16 08:20:00,2024-03-16 07:41:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
IZ,551,2024-03-16 08:15:00,2024-03-16 08:42:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED
IZ,775,2024-03-16 08:30:00,2024-03-16 08:46:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
EK,2369,2024-03-16 08:55:00,2024-03-16 08:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1549,2024-03-16 08:55:00,2024-03-16 08:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2450,2024-03-16 10:20:00,2024-03-16 10:16:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-03-16 10:20:00,2024-03-16 10:16:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2370,2024-03-16 10:10:00,2024-03-16 10:18:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-03-16 10:10:00,2024-03-16 10:18:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
UA,085,2024-03-16 10:30:00,2024-03-16 10:49:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
IZ,414,2024-03-16 11:30:00,2024-03-16 11:17:00,A,BUS,BATUMI,GEORGIA,3,LANDED
EK,2363,2024-03-16 11:40:00,2024-03-16 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1211,2024-03-16 11:40:00,2024-03-16 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2451,2024-03-16 11:35:00,2024-03-16 11:41:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1082,2024-03-16 11:35:00,2024-03-16 11:41:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
A3,926,2024-03-16 12:00:00,2024-03-16 11:50:00,A,ATH,ATHENS,GREECE,3,LANDED
JU,7620,2024-03-16 12:00:00,2024-03-16 11:50:00,A,ATH,ATHENS,GREECE,3,LANDED
BZ,701,2024-03-16 12:00:00,2024-03-16 11:53:00,A,ATH,ATHENS,GREECE,3,LANDED
IZ,1841,2024-03-16 12:00:00,2024-03-16 12:14:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,145,2024-03-16 11:50:00,2024-03-16 12:22:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
IZ,161,2024-03-16 12:30:00,2024-03-16 12:29:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
EW,9974,2024-03-16 12:40:00,2024-03-16 12:55:00,A,DUS,DUSSELDORF,GERMANY,3,LANDED
EK,2364,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1212,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
EK,2345,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
A3,927,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,4978,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1514,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7621,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
ET,418,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8808,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
BZ,132,2024-03-16 12:55:00,2024-03-16 13:24:00,D,FCO,ROME,ITALY,3,DEPARTED
CY,110,2024-03-16 14:00:00,2024-03-16 13:47:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,1842,2024-03-16 14:05:00,2024-03-16 14:13:00,A,ETM,RAMON,ISRAEL,3,LANDED
EW,9975,2024-03-16 13:40:00,2024-03-16 14:17:00,D,DUS,DUSSELDORF,GERMANY,3,DEPARTED
EK,2346,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1126,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
ET,419,2024-03-16 14:35:00,2024-03-16 14:47:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8809,2024-03-16 14:35:00,2024-03-16 14:47:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
IZ,162,2024-03-16 15:30:00,2024-03-16 14:54:00,A,LCA,LARNACA,CYPRUS,3,LANDED
CY,111,2024-03-16 15:00:00,2024-03-16 14:56:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
IZ,827,2024-03-16 15:00:00,2024-03-16 15:12:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
WZ,015,2024-03-16 12:15:00,2024-03-16 15:37:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
AC,9020,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
LH,686,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
NH,5459,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
SN,7173,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
UA,9120,2024-03-16 15:40:00,2024-03-16 15:49:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
6H,142,2024-03-16 15:40:00,2024-03-16 15:55:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
6H,264,2024-03-16 15:25:00,2024-03-16 15:58:00,A,MUC,MUNICH,GERMANY,3,LANDED
LH,680,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
SN,7171,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
UA,9471,2024-03-16 16:05:00,2024-03-16 16:00:00,A,MUC,MUNICH,GERMANY,3,LANDED
IZ,211,2024-03-16 16:30:00,2024-03-16 16:40:00,D,ATH,ATHENS,GREECE,3,DEPARTED
IZ,828,2024-03-16 17:05:00,2024-03-16 17:04:00,A,ETM,RAMON,ISRAEL,3,LANDED
WZ,016,2024-03-16 13:45:00,2024-03-16 17:06:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
LX,252,2024-03-16 17:10:00,2024-03-16 17:32:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
LH,687,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
SN,7174,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
UA,9123,2024-03-16 16:45:00,2024-03-16 17:41:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
LH,681,2024-03-16 17:10:00,2024-03-16 17:46:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
SN,7172,2024-03-16 17:10:00,2024-03-16 17:46:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
6H,143,2024-03-16 17:20:00,2024-03-16 17:55:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
IZ,1843,2024-03-16 17:50:00,2024-03-16 18:10:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
IZ,776,2024-03-16 18:20:00,2024-03-16 18:50:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
LX,253,2024-03-16 18:20:00,2024-03-16 19:14:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
6H,044,2024-03-16 19:25:00,2024-03-16 19:35:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,174,2024-03-16 19:35:00,2024-03-16 19:39:00,A,BCN,BARCELONA,SPAIN,3,LANDED
U8,108,2024-03-16 20:00:00,2024-03-16 19:43:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,1844,2024-03-16 20:05:00,2024-03-16 20:11:00,A,ETM,RAMON,ISRAEL,3,LANDED
IZ,1805,2024-03-16 19:30:00,2024-03-16 20:12:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
W9,4451,2024-03-16 21:05:00,2024-03-16 20:31:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
IZ,212,2024-03-16 21:25:00,2024-03-16 21:06:00,A,ATH,ATHENS,GREECE,3,LANDED
IZ,1845,2024-03-16 20:50:00,2024-03-16 21:20:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
BZ,131,2024-03-16 21:00:00,2024-03-16 21:32:00,A,FCO,ROME,ITALY,3,LANDED
6H,047,2024-03-16 20:30:00,2024-03-16 21:32:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,146,2024-03-16 21:40:00,2024-03-16 21:52:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
IZ,552,2024-03-16 21:20:00,2024-03-16 21:54:00,A,RVN,ROVANIEMI,FINLAND,3,LANDED
LY,091,2024-03-16 21:45:00,2024-03-16 21:55:00,D,NRT,TOKYO,JAPAN,3,DEPARTED
LY,5131,2024-03-16 21:50:00,2024-03-16 22:03:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
W9,4452,2024-03-16 21:55:00,2024-03-16 22:08:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
LY,081,2024-03-16 21:40:00,2024-03-16 22:09:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5020,2024-03-16 21:40:00,2024-03-16 22:09:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4584,2024-03-16 21:40:00,2024-03-16 22:09:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
VN,3298,2024-03-16 21:40:00,2024-03-16 22:09:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
LY,083,2024-03-16 21:50:00,2024-03-16 22:18:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5018,2024-03-16 21:50:00,2024-03-16 22:18:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4586,2024-03-16 21:50:00,2024-03-16 22:18:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
IZ,1806,2024-03-16 21:55:00,2024-03-16 22:23:00,A,ETM,RAMON,ISRAEL,3,LANDED
LY,545,2024-03-16 22:15:00,2024-03-16 22:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
BZ,702,2024-03-16 21:55:00,2024-03-16 23:02:00,D,ATH,ATHENS,GREECE,3,DEPARTED
ET,404,2024-03-16 00:35:00,2024-03-15 23:59:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-03-16 00:35:00,2024-03-15 23:59:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
6H,768,2024-03-16 00:45:00,2024-03-16 00:59:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
ET,405,2024-03-16 01:30:00,2024-03-16 01:32:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2024-03-16 01:30:00,2024-03-16 01:32:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
A3,928,2024-03-16 03:00:00,2024-03-16 02:35:00,A,ATH,ATHENS,GREECE,3,LANDED
FB,1528,2024-03-16 03:00:00,2024-03-16 02:35:00,A,ATH,ATHENS,GREECE,3,LANDED
OS,859,2024-03-16 03:35:00,2024-03-16 03:16:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LO,151,2024-03-16 03:45:00,2024-03-16 03:50:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,9256,2024-03-16 03:45:00,2024-03-16 03:50:00,A,WAW,WARSAW,POLAND,3,LANDED
QS,1286,2024-03-16 04:35:00,2024-03-16 04:27:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
A3,929,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1529,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7623,2024-03-16 05:15:00,2024-03-16 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LO,152,2024-03-16 05:20:00,2024-03-16 05:38:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,9255,2024-03-16 05:20:00,2024-03-16 05:38:00,D,WAW,WARSAW,POLAND,3,DEPARTED
IZ,413,2024-03-16 05:40:00,2024-03-16 05:54:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
QS,1287,2024-03-16 05:35:00,2024-03-16 06:08:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
6H,141,2024-03-16 05:50:00,2024-03-16 06:13:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
6H,263,2024-03-16 06:30:00,2024-03-16 06:35:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
NH,5620,2024-03-16 05:20:00,2024-03-16 06:40:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
OS,860,2024-03-16 05:20:00,2024-03-16 06:40:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
6H,357,2024-03-16 07:10:00,2024-03-16 07:21:00,D,VRN,VERONA,ITALY,3,DEPARTED
UA,084,2024-03-16 08:20:00,2024-03-16 07:41:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
IZ,551,2024-03-16 08:15:00,2024-03-16 08:42:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED
IZ,775,2024-03-16 08:30:00,2024-03-16 08:46:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
EK,2369,2024-03-16 08:55:00,2024-03-16 08:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1549,2024-03-16 08:55:00,2024-03-16 08:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2450,2024-03-16 10:20:00,2024-03-16 10:16:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-03-16 10:20:00,2024-03-16 10:16:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2370,2024-03-16 10:10:00,2024-03-16 10:18:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-03-16 10:10:00,2024-03-16 10:18:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
UA,085,2024-03-16 10:30:00,2024-03-16 10:49:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
IZ,414,2024-03-16 11:30:00,2024-03-16 11:17:00,A,BUS,BATUMI,GEORGIA,3,LANDED
EK,2363,2024-03-16 11:40:00,2024-03-16 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1211,2024-03-16 11:40:00,2024-03-16 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2451,2024-03-16 11:35:00,2024-03-16 11:41:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1082,2024-03-16 11:35:00,2024-03-16 11:41:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
A3,926,2024-03-16 12:00:00,2024-03-16 11:50:00,A,ATH,ATHENS,GREECE,3,LANDED
JU,7620,2024-03-16 12:00:00,2024-03-16 11:50:00,A,ATH,ATHENS,GREECE,3,LANDED
BZ,701,2024-03-16 12:00:00,2024-03-16 11:53:00,A,ATH,ATHENS,GREECE,3,LANDED
IZ,1841,2024-03-16 12:00:00,2024-03-16 12:14:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,145,2024-03-16 11:50:00,2024-03-16 12:22:00,D,GNB,GRENOBLE,FRANCE,3,DEPARTED
IZ,161,2024-03-16 12:30:00,2024-03-16 12:29:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
EW,9974,2024-03-16 12:40:00,2024-03-16 12:55:00,A,DUS,DUSSELDORF,GERMANY,3,LANDED
EK,2364,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1212,2024-03-16 12:55:00,2024-03-16 12:59:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
EK,2345,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,2024-03-16 13:05:00,2024-03-16 13:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
A3,927,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,4978,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1514,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7621,2024-03-16 12:50:00,2024-03-16 13:09:00,D,ATH,ATHENS,GREECE,3,DEPARTED
ET,418,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8808,2024-03-16 13:35:00,2024-03-16 13:16:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
BZ,132,2024-03-16 12:55:00,2024-03-16 13:24:00,D,FCO,ROME,ITALY,3,DEPARTED
CY,110,2024-03-16 14:00:00,2024-03-16 13:47:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,1842,2024-03-16 14:05:00,2024-03-16 14:13:00,A,ETM,RAMON,ISRAEL,3,LANDED
EW,9975,2024-03-16 13:40:00,2024-03-16 14:17:00,D,DUS,DUSSELDORF,GERMANY,3,DEPARTED
EK,2346,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1126,2024-03-16 14:20:00,2024-03-16 14:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
